report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price,priorwk_ad_count,priorwk_wtd_avg_price,prioryr_ad_count,prioryr_wtd_avg_price
12/20/2024,Midwest,Fruit,Clementines,N/A,No,5 lb package,N/A,5.99,6.99,12,6.49,,,,
12/20/2024,Midwest,Fruit,Clementines,N/A,No,3 lb bag,N/A,2.99,5.99,486,3.82,,,,
12/20/2024,Midwest,Fruit,Cherries,RED VARIETIES,No,per lb,N/A,2.49,8.99,1427,5.53,,,,
12/20/2024,Midwest,Fruit,Cantaloupes,N/A,No,each,N/A,2.99,3.99,293,3.44,,,,
12/20/2024,Midwest,Fruit,Blueberries,N/A,Yes,6 oz package,N/A,4.49,4.49,9,4.49,,,,
12/20/2024,Midwest,Fruit,Blueberries,N/A,Yes,1 pint (11-12 oz cntr w/ lid),N/A,3.5,4.99,127,4.29,,,,
12/20/2024,Midwest,Fruit,Blueberries,N/A,No,6 oz package,N/A,1.97,2.5,21,2.3,,,,
12/20/2024,Midwest,Fruit,Blueberries,N/A,No,1 pint (11-12 oz cntr w/ lid),N/A,0.99,6.99,2232,2.84,,,,
12/20/2024,Midwest,Fruit,Blackberries,N/A,No,5.6-6 oz package,N/A,0.99,3.99,1323,2.37,,,,
12/20/2024,Midwest,Fruit,Bananas,N/A,Yes,per lb,N/A,0.88,0.99,141,0.91,,,,
12/20/2024,Midwest,Fruit,Bananas,N/A,No,per lb,N/A,0.49,0.49,14,0.49,,,,
12/20/2024,Midwest,Fruit,Avocados,Hass-Marked Extra Large,Yes,each,N/A,2.5,2.5,67,2.5,,,,
12/20/2024,Midwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.69,0.79,22,0.73,,,,
12/20/2024,Midwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.49,1.5,128,1.5,,,,
12/20/2024,Midwest,Fruit,Avocados,HASS,No,each,N/A,0.69,1.25,347,0.9,,,,
12/20/2024,Midwest,Fruit,Avocados,Hass-Marked Extra Large,No,per lb,N/A,1.5,1.5,7,1.5,,,,
12/20/2024,Midwest,Fruit,Apples,Gala/Royal Gala,Yes,2 lb bag,N/A,2.99,4.99,145,4.45,,,,
12/20/2024,Midwest,Fruit,Apples,GRANNY SMITH,Yes,2 lb bag,N/A,4.99,4.99,106,4.99,,,,
12/20/2024,Midwest,Fruit,Apples,FUJI,Yes,2 lb bag,N/A,4.39,4.99,112,4.96,,,,
12/20/2024,Midwest,Fruit,Apples,AMBROSIA,Yes,2 lb bag,N/A,2.99,2.99,7,2.99,,,,
12/20/2024,Midwest,Fruit,Apples,COSMIC CRISP,Yes,per lb,N/A,2.68,2.69,266,2.68,,,,
12/20/2024,Midwest,Fruit,Apples,Envy,Yes,per lb,N/A,2.39,2.39,67,2.39,,,,
12/20/2024,Midwest,Fruit,Apples,GRANNY SMITH,Yes,per lb,N/A,1.98,1.98,9,1.98,,,,
12/20/2024,Midwest,Fruit,Apples,FUJI,Yes,per lb,N/A,1.98,1.98,9,1.98,,,,
12/20/2024,Midwest,Fruit,Apples,Gala/Royal Gala,Yes,3 lb bag,N/A,3.99,3.99,245,3.99,,,,
12/20/2024,Midwest,Fruit,Apples,Gala/Royal Gala,No,2 lb bag,N/A,2.5,2.5,22,2.5,,,,
12/20/2024,Midwest,Fruit,Apples,RED DELICIOUS,No,2 lb bag,N/A,2.5,2.5,22,2.5,,,,
12/20/2024,Midwest,Fruit,Apples,GRANNY SMITH,No,2 lb bag,N/A,2.5,2.5,22,2.5,,,,
12/20/2024,Midwest,Fruit,Apples,GOLDEN DELICIOUS,No,2 lb bag,N/A,2.5,2.5,22,2.5,,,,
12/20/2024,Midwest,Fruit,Apples,FUJI,No,2 lb bag,N/A,2.5,2.5,22,2.5,,,,
12/20/2024,Midwest,Fruit,Apples,EMPIRE,No,2 lb bag,N/A,2.49,2.49,245,2.49,,,,
12/20/2024,Midwest,Fruit,Apples,COSMIC CRISP,No,per lb,N/A,0.99,1.99,1087,1.74,,,,
12/20/2024,Midwest,Fruit,Apples,Envy,No,per lb,N/A,1.49,1.49,17,1.49,,,,
12/20/2024,Midwest,Fruit,Apples,Jazz,No,per lb,N/A,1.39,1.99,15,1.63,,,,
12/20/2024,Midwest,Fruit,Apples,Gala/Royal Gala,No,per lb,N/A,0.99,1.99,492,1.48,,,,
12/20/2024,Midwest,Fruit,Apples,RED DELICIOUS,No,per lb,N/A,0.99,1.49,107,1.36,,,,
12/20/2024,Midwest,Fruit,Apples,PINK LADY/CRIPPS PINK,No,per lb,N/A,1.19,1.99,331,1.61,,,,
12/20/2024,Midwest,Fruit,Apples,HONEYCRISP,No,per lb,N/A,0.98,2.99,1394,2.06,,,,
12/20/2024,Midwest,Fruit,Apples,GRANNY SMITH,No,per lb,N/A,0.99,2.49,879,1.69,,,,
12/20/2024,Midwest,Fruit,Apples,GOLDEN DELICIOUS,No,per lb,N/A,0.99,1.48,94,1.26,,,,
12/20/2024,Midwest,Fruit,Apples,FUJI,No,per lb,N/A,0.99,2.49,401,1.8,,,,
12/20/2024,Midwest,Fruit,Apples,BRAEBURN,No,per lb,N/A,1.49,1.49,35,1.49,,,,
12/20/2024,Midwest,Fruit,Apples,AMBROSIA,No,per lb,N/A,1.99,1.99,114,1.99,,,,
12/20/2024,Midwest,Fruit,Apples,COSMIC CRISP,No,5 lb bag,N/A,6.99,6.99,102,6.99,,,,
12/20/2024,Midwest,Fruit,Apples,Gala/Royal Gala,No,5 lb bag,N/A,4.99,5.99,52,5.24,,,,
12/20/2024,Midwest,Fruit,Apples,HONEYCRISP,No,5 lb bag,N/A,6.99,6.99,20,6.99,,,,
12/20/2024,Midwest,Fruit,Apples,GRANNY SMITH,No,5 lb bag,N/A,5.99,5.99,13,5.99,,,,
12/20/2024,Midwest,Fruit,Apples,FUJI,No,5 lb bag,N/A,5.99,5.99,13,5.99,,,,
12/20/2024,Midwest,Fruit,Apples,COSMIC CRISP,No,3 lb bag,N/A,0.99,0.99,188,0.99,,,,
12/20/2024,Midwest,Fruit,Apples,Gala/Royal Gala,No,3 lb bag,N/A,1.99,3.99,91,2.41,,,,
12/20/2024,Midwest,Fruit,Apples,RED DELICIOUS,No,3 lb bag,N/A,0.99,3.99,314,2.07,,,,
12/20/2024,Midwest,Fruit,Apples,PINK LADY/CRIPPS PINK,No,3 lb bag,N/A,0.99,0.99,188,0.99,,,,
12/20/2024,Midwest,Fruit,Apples,MCINTOSH,No,3 lb bag,N/A,2.99,3.99,341,3.27,,,,
12/20/2024,Midwest,Fruit,Apples,GRANNY SMITH,No,3 lb bag,N/A,0.99,3.99,194,1.08,,,,
12/20/2024,Midwest,Fruit,Apples,GOLDEN DELICIOUS,No,3 lb bag,N/A,3.99,3.99,6,3.99,,,,
12/20/2024,Midwest,Fruit,Apples,FUJI,No,3 lb bag,N/A,0.99,3.99,477,2.2,,,,
12/20/2024,Midwest,Fruit,Tangerines/Mandarins,N/A,Yes,2 lb bag,N/A,3.97,4.97,960,4.01,,,,
12/20/2024,Midwest,Fruit,Tangerines/Mandarins,N/A,No,each,N/A,2.5,2.5,105,2.5,,,,
12/20/2024,Midwest,Fruit,Tangerines/Mandarins,N/A,No,2 lb bag,N/A,3.99,3.99,6,3.99,,,,
12/20/2024,Midwest,Fruit,Tangerines/Mandarins,N/A,No,per lb,N/A,1.49,1.49,7,1.49,,,,
12/20/2024,Midwest,Fruit,Tangerines/Mandarins,N/A,No,5 lb package,N/A,1.98,9.99,298,5.02,,,,
12/20/2024,Midwest,Fruit,Tangerines/Mandarins,N/A,No,3 lb bag,N/A,2.49,5.99,1489,3.14,,,,
12/20/2024,Midwest,Fruit,"Apples, Processed",JUICE,Yes,64 oz (1/2 gallon),N/A,3.89,3.89,61,3.89,,,,
12/20/2024,Midwest,Fruit,"Apples, Processed",JUICE MARKED CIDER,No,128 oz (1 gallon),N/A,9.99,9.99,10,9.99,,,,
12/20/2024,Midwest,Fruit,"Apples, Processed",JUICE MARKED CIDER,No,64 oz (1/2 gallon),N/A,1.79,5.99,126,4.47,,,,
12/20/2024,Midwest,Fruit,"Apples, Processed",JUICE,No,64 oz (1/2 gallon),N/A,0.95,2.79,400,2.23,,,,
12/20/2024,Midwest,Fruit,Watermelons,RED FLESH SEEDLESS MINIATURE,No,each,N/A,2,2,22,2,,,,
12/20/2024,Midwest,Fruit,Strawberries,N/A,No,1 lb package,N/A,3,5.99,143,3.51,,,,
12/20/2024,Midwest,Fruit,Raspberries,N/A,No,6 oz package,N/A,1.97,3.99,571,3.2,,,,
12/20/2024,Midwest,Fruit,Pomegranates,N/A,No,each,N/A,0.99,4.99,1104,1.86,,,,
12/20/2024,Midwest,Fruit,Pomegranates,N/A,No,per lb,N/A,1.49,2.99,17,2.02,,,,
12/20/2024,Midwest,Fruit,Pineapples,N/A,Yes,each,N/A,3.99,3.99,22,3.99,,,,
12/20/2024,Midwest,Fruit,Pineapples,N/A,No,each,N/A,0.99,3.99,2905,1.79,,,,
12/20/2024,Midwest,Fruit,Pears,D'ANJOU,Yes,per lb,N/A,2.29,2.29,67,2.29,,,,
12/20/2024,Midwest,Fruit,Pears,D'ANJOU,No,per lb,N/A,1.69,2.49,68,1.86,,,,
12/20/2024,Midwest,Fruit,Pears,BOSC,No,per lb,N/A,2.19,2.19,6,2.19,,,,
12/20/2024,Midwest,Fruit,Pears,BARTLETT,No,per lb,N/A,0.88,2.29,528,1.94,,,,
12/20/2024,Midwest,Fruit,Papaya,MARADOL/TAINUNG TYPES,No,per lb,N/A,0.99,0.99,8,0.99,,,,
12/20/2024,Midwest,Fruit,Oranges,NAVEL,Yes,4 lb bag,N/A,7.99,7.99,106,7.99,,,,
